GOLD TRANSFORMATIONS,*denotes derived field,,,,,,,,,,
copy from bronze asses,copy from bronze asses,copy from bronze asses,copy from bronze asses,copy from bronze asses,copy from bronze asses,includes any join clauses notating primary table and secondary table,,,,,
DATABASE_NAME,SCHEMA_NAME,TABLE_NAME,COLUMN_NAME,KEY FIELD FLAG,SILVER ASSESSMENT NOTES,TRANSFORMATIONS NEEDED,GOLD FIELD NAME,GOLD DATA TYPE,SILVER DEFINITION,NOTES,
SILVER_DATA,TCM_SILVER,MASTER_PRODUCT_TABLE_SILVER,Item_ID_Child_SKU,join key,join to Item Inventory silver table Item_ID_Child_SKU,,Item_ID_Child_SKU,TEXT(30),,,
SILVER_DATA,TCM_SILVER,MASTER_PRODUCT_TABLE_SILVER,Item_Description_Child_SKU,,,,Item_Description_Child_SKU,TEXT(61),,,
SILVER_DATA,TCM_SILVER,MASTER_PRODUCT_TABLE_SILVER,Date_Added_ITMMAS_BASE,,,,Date_Added_ITMMAS_BASE,TIMESTAMP_NTZ(9),,,
SILVER_DATA,TCM_SILVER,MASTER_PRODUCT_TABLE_SILVER,Item_Cost_Category,,,,Item_Cost_Category,TEXT(90),,,
SILVER_DATA,TCM_SILVER,MASTER_PRODUCT_TABLE_SILVER,Item_Vertical,,,,Item_Vertical,TEXT(72),,,
SILVER_DATA,TCM_SILVER,MASTER_PRODUCT_TABLE_SILVER,Item_Commodity_Code,,,,Item_Commodity_Code,TEXT(4),,,
SILVER_DATA,TCM_SILVER,MASTER_PRODUCT_TABLE_SILVER,Ratio_Purchase_to_Stock,,,,Ratio_Purchase_to_Stock,"NUMBER(8,4)",,,
SILVER_DATA,TCM_SILVER,MASTER_PRODUCT_TABLE_SILVER,Cost_Total_Current,,,,Cost_Total_Current,"NUMBER(15,4)",,,
SILVER_DATA,TCM_SILVER,MASTER_PRODUCT_TABLE_SILVER,Cost_Total_Standard,,,,Cost_Total_Standard,"NUMBER(15,4)",,,
SILVER_DATA,TCM_SILVER,MASTER_PRODUCT_TABLE_SILVER,Cost_Total_Current_Calculated,,,,Cost_Total_Current_Calculated,"NUMBER(11,4)",,,
SILVER_DATA,TCM_SILVER,MASTER_PRODUCT_TABLE_SILVER,Date_Cost_Changed,,,,Date_Cost_Changed,TIMESTAMP_NTZ(9),,,
SILVER_DATA,TCM_SILVER,MASTER_PRODUCT_TABLE_SILVER,Date_Cost_Standard,,,,Date_Cost_Standard,TIMESTAMP_NTZ(9),,,
SILVER_DATA,TCM_SILVER,MASTER_PRODUCT_TABLE_SILVER,Ratio_Price_to_Stock,,,,Ratio_Price_to_Stock,"NUMBER(8,4)",,,
SILVER_DATA,TCM_SILVER,MASTER_PRODUCT_TABLE_SILVER,Unit_of_Measure_Price,,,,Unit_of_Measure_Price,TEXT(2),,,
SILVER_DATA,TCM_SILVER,MASTER_PRODUCT_TABLE_SILVER,Unit_of_Measure_Purchase,,,,Unit_of_Measure_Purchase,TEXT(2),,,
SILVER_DATA,TCM_SILVER,MASTER_PRODUCT_TABLE_SILVER,Unit_of_Measure_Stock,,,,Unit_of_Measure_Stock,TEXT(2),,,
SILVER_DATA,TCM_SILVER,MASTER_PRODUCT_TABLE_SILVER,Item_Material_Code,,,,Item_Code_User_3,TEXT(10),,,
SILVER_DATA,TCM_SILVER,MASTER_PRODUCT_TABLE_SILVER,Item_ID_Parent_SKU,,,,Item_ID_Parent_SKU,TEXT(75),,,
SILVER_DATA,TCM_SILVER,MASTER_PRODUCT_TABLE_SILVER,Item_Description_Parent_SKU,,,,Item_Description_Parent_SKU,TEXT(16777216),,,
SILVER_DATA,TCM_SILVER,MASTER_PRODUCT_TABLE_SILVER,Item_Status_Obsolete_Reason,,,,Item_Status_Obsolete_Reason,TEXT(225),,,
SILVER_DATA,TCM_SILVER,MASTER_PRODUCT_TABLE_SILVER,Item_Replaced_By,,,,Item_Replaced_By,TEXT(225),,,
SILVER_DATA,TCM_SILVER,MASTER_PRODUCT_TABLE_SILVER,Item_Status_Obsolete_Requestor,,,,Item_Status_Obsolete_Requestor,TEXT(225),,,
SILVER_DATA,TCM_SILVER,MASTER_PRODUCT_TABLE_SILVER,Item_Product_Line,,,,Item_Product_Line,TEXT(225),,,
SILVER_DATA,TCM_SILVER,MASTER_PRODUCT_TABLE_SILVER,Item_Product_Type,,,,Item_Product_Type,TEXT(225),,,
SILVER_DATA,TCM_SILVER,MASTER_PRODUCT_TABLE_SILVER,Item_Product_Application,,,,Item_Product_Application,TEXT(225),,,
SILVER_DATA,TCM_SILVER,MASTER_PRODUCT_TABLE_SILVER,Item_Brand,,,,Item_Brand,TEXT(225),,,
SILVER_DATA,TCM_SILVER,MASTER_PRODUCT_TABLE_SILVER,Item_Stocked_Flag,,,,Item_Stocked_Flag,TEXT(1),,,
SILVER_DATA,TCM_SILVER,MASTER_PRODUCT_TABLE_SILVER,Item_Primary_Location,join key between Product Master and Inventory Master,used to aggregate inventory quantities by primary vs secondary vs in-transit locations,,Item_Primary_Location,TEXT(5),,,
SILVER_DATA,TCM_SILVER,MASTER_PRODUCT_TABLE_SILVER,Item_Status_Child_Active_Status,,,,Item_Status_Child_Active_Status,TEXT(3),,,
SILVER_DATA,TCM_SILVER,MASTER_PRODUCT_TABLE_SILVER,Item_Status_Parent_Active_Status,,,,Item_Status_Parent_Active_Status,TEXT(3),,,
SILVER_DATA,TCM_SILVER,MASTER_PRODUCT_TABLE_SILVER,Item_ID_Parent_SKU,,,,Item_ID_Parent_SKU,,,,
SILVER_DATA,TCM_SILVER,MASTER_PRODUCT_TABLE_SILVER,Item_Description_Parent_SKU,,,,Item_Description_Parent_SKU,,,,
SILVER_DATA,TCM_SILVER,MASTER_PRODUCT_TABLE_SILVER,Item_Certificate_Number,,,,Item_Certificate_Number,,,,
SILVER_DATA,TCM_SILVER,MASTER_PRODUCT_TABLE_SILVER,Item_Color,,,,Item_Color,,,,
SILVER_DATA,TCM_SILVER,MASTER_PRODUCT_TABLE_SILVER,Item_Size,,,,Item_Size,,,,
SILVER_DATA,TCM_SILVER,MASTER_PRODUCT_TABLE_SILVER,Item_Length,,,,Item_Length,,,,
SILVER_DATA,TCM_SILVER,MASTER_PRODUCT_TABLE_SILVER,Item_UPC_Code,,,,Item_UPC_Code,,,,
SILVER_DATA,TCM_SILVER,MASTER_PRODUCT_TABLE_SILVER,Item_PFAS,,,,Item_PFAS,,,,
SILVER_DATA,TCM_SILVER,MASTER_PRODUCT_TABLE_SILVER,Item_Class,,,,Item_Class,,,,
SILVER_DATA,TCM_SILVER,MASTER_PRODUCT_TABLE_SILVER,Item_PPC,,,,Item_PPC,,,,
SILVER_DATA,TCM_SILVER,MASTER_PRODUCT_TABLE_SILVER,Item_Berry,,,,Item_Berry,,,,
SILVER_DATA,TCM_SILVER,MASTER_PRODUCT_TABLE_SILVER,Item_Care,,,,Item_Care,,,,
SILVER_DATA,TCM_SILVER,MASTER_PRODUCT_TABLE_SILVER,Item_Heat_Transfer,,,,Item_Heat_Transfer,,,,
SILVER_DATA,TCM_SILVER,MASTER_PRODUCT_TABLE_SILVER,Item_Other,,,,Item_Other,,,,
SILVER_DATA,TCM_SILVER,MASTER_PRODUCT_TABLE_SILVER,Item_Pad_Print,,,,Item_Pad_Print,,,,
SILVER_DATA,TCM_SILVER,MASTER_PRODUCT_TABLE_SILVER,Item_Tracking,,,,Item_Tracking,,,,
SILVER_DATA,TCM_SILVER,MASTER_PRODUCT_TABLE_SILVER,Item_Product_Category,,,,Item_Product_Category,,,,
SILVER_DATA,TCM_SILVER,MASTER_PRODUCT_TABLE_SILVER,Item_Gender,,,,Item_Gender,,,,
SILVER_DATA,TCM_SILVER,MASTER_PRODUCT_TABLE_SILVER,Item_Advertised_Flag,,,,Item_Advertised_Flag,,,,
SILVER_DATA,TCM_SILVER,MASTER_PRODUCT_TABLE_SILVER,Item_ALT_Key,,,,Item_ALT_Key,,,,
SILVER_DATA,TCM_SILVER,MASTER_PRODUCT_TABLE_SILVER,Item_Secondary_Locations,,,,Item_Secondary_Locations,,,,
SILVER_DATA,TCM_SILVER,MASTER_INVENTORY_SILVER,Date_Last_Cycle_Count,,,,Date_Last_Cycle_Count,TIMESTAMP_NTZ(9),,,
SILVER_DATA,TCM_SILVER,MASTER_INVENTORY_SILVER,Planned_Classification,,,,Planned_Classification,TEXT(2),,,
SILVER_DATA,TCM_SILVER,MASTER_INVENTORY_SILVER,Date_Pipeline_Run_Timestamp,,,,Date_Pipeline_Run_Timestamp_Inventory_Master,TIMESTAMP_LTZ(9),,,
SILVER_DATA,TCM_SILVER,MASTER_INVENTORY_SILVER,Inventory_Allocated_Quantity,,needs to be aggregated multiple ways - quantity at primary location vs quantity at secondary locations and total,Aggregated Total all locations,Inventory_Allocated_Quantity_Total,"NUMBER(8,0)",,,
SILVER_DATA,TCM_SILVER,MASTER_INVENTORY_SILVER,Inventory_Inspected_Quantity,,needs to be aggregated multiple ways - quantity at primary location vs quantity at secondary locations and total,,Inventory_Inspected_Quantity_Total,"NUMBER(8,0)",,,
SILVER_DATA,TCM_SILVER,MASTER_INVENTORY_SILVER,Inventory_Location_Id,join with Product Master Primary Location,used on join with item master to determine whether the location id = the primary location id of the item from the item master and then derive primary & secondary quantities for various quantity types,,,TEXT(5),,,
SILVER_DATA,TCM_SILVER,MASTER_INVENTORY_SILVER,Inventory_On_Hand_Quantity,,needs to be aggregated multiple ways - quantity at primary location vs quantity at secondary locations and total,Aggregated Total all locations,Inventory_On_Hand_Quantity_Total,"NUMBER(8,0)",,,
SILVER_DATA,TCM_SILVER,MASTER_INVENTORY_SILVER,Inventory_On_Order_Quantity,,needs to be aggregated multiple ways - quantity at primary location vs quantity at secondary locations and total,Aggregated Total all locations,Inventory_On_Order_Quantity_Total,"NUMBER(8,0)",,,
SILVER_DATA,TCM_SILVER,MASTER_INVENTORY_SILVER,Inventory_Quantity_In_Transit,,Inventory_on_Hand for item but in transit,Aggregated Total all locations,Inventory_In_Transit_Quantity,"NUMBER(20,0)",,,
SILVER_DATA,TCM_SILVER,MASTER_INVENTORY_SILVER,Inventory_Reorder_Point,,,,Inventory_Reorder_Point,"NUMBER(8,0)",,,
SILVER_DATA,TCM_SILVER,MASTER_INVENTORY_SILVER,Inventory_Primary_Bin,,,,Inventory_Primary_Bin,TEXT(20),,,
SILVER_DATA,TCM_SILVER,MASTER_INVENTORY_SILVER,Inventory_Source_Type,,,,Inventory_Source_Type,TEXT(1),,,
SILVER_DATA,TCM_SILVER,MASTER_INVENTORY_SILVER,Inventory_Released_Quantity,,,,Released_Quantity_Total,,,,
SILVER_DATA,TCM_SILVER,MASTER_INVENTORY_SILVER,Inventory_Start_Quantity,,,,Started_Quantity_Total,,,,
SILVER_DATA,TCM_SILVER,MASTER_INVENTORY_SILVER,Inventory_Pending_Release_Quantity,,,,Pending_Release_Quantity_Total,,,,
SILVER_DATA,TCM_SILVER,MASTER_INVENTORY_SILVER,Inventory_Pending_Start_Quantity,,,,Pending_Start_Quantity_Total,,,,
SILVER_DATA,TCM_SILVER,MASTER_INVENTORY_SILVER,Inventory_Procured_Flag,,,,Inventory_Procured_Flag,,,,
SILVER_DATA,TCM_SILVER,MASTER_INVENTORY_SILVER,Inventory_Primary_Location_Flag,,,,Inventory_Primary_Location_Flag,,,,
,TCM_SILVER,MASTER_INVENTORY_SILVER,Inventory_Tracking_Bin_Code,,,,Inventory_Tracking_Bin_Code,,,,
Derived field,Derived field,Derived field,Derived field,,,Aggregated CASE when Inventory_Primary_Location_Flag = 'P' ,Released_Quantity_at_Primary_Location,,,,
Derived field,Derived field,Derived field,Derived field,,,Aggregated CASE when Inventory_Primary_Location_Flag = 'S' ,Released_Quantity_at_Secondary_Locations,,,,
Derived field,Derived field,Derived field,Derived field,,,Aggregated CASE when Inventory_Primary_Location_Flag = 'P' ,Started_Quantity_at_Primary_Location,,,,
Derived field,Derived field,Derived field,Derived field,,,Aggregated CASE when Inventory_Primary_Location_Flag = 'S' ,Started_Quantity_at_Secondary_Locations,,,,
Derived field,Derived field,Derived field,Derived field,,,Aggregated CASE when Inventory_Primary_Location_Flag = 'P' ,Pending_Release_Quantity_at_Primary_Location,,,,
Derived field,Derived field,Derived field,Derived field,,,Aggregated CASE when Inventory_Primary_Location_Flag = 'S' ,Pending_Release_Quantity_at_Secondary_Locations,,,,
Derived field,Derived field,Derived field,Derived field,,,Aggregated CASE when Inventory_Primary_Location_Flag = 'P' ,Pending_Start_Quantity_at_Primary_Location,,,,
Derived field,Derived field,Derived field,Derived field,,,Aggregated CASE when Inventory_Primary_Location_Flag = 'S' ,Pending_Start_Quantity_at_Secondary_Locations,,,,
Derived field,Derived field,Derived field,Derived field,,,If Inventory_Location_ID = Item_Primary_Location then most recent SUM(Inventory_Allocated_Quantity),Inventory_Allocated_Quantity_at_Primary_Location,,,,
Derived field,Derived field,Derived field,Derived field,,,If Inventory_Location_ID =/= Item_Primary_Location then most recent SUM(Inventory_Allocated_Quantity),Inventory_Allocated_Quantity_at_Secondary_Locations,,,,
Derived field,Derived field,Derived field,Derived field,,,If Inventory_Location_ID = Item_Primary_Location then most recent SUM(Inventory_Inspected_Quantity),Inventory_Inspected_Quantity_at_Primary_Location,,,,
Derived field,Derived field,Derived field,Derived field,,,If Inventory_Location_ID =/= Item_Primary_Location then most recent SUM(Inventory_Inspected_Quantity),Inventory_Inspected_Quantity_at_Secondary_Locations,,,,
Derived field,Derived field,Derived field,Derived field,,,If Inventory_Location_ID = Item_Primary_Location then most recent SUM(Inventory_On_Hand_Quantity),Inventory_On_Hand_Quantity_at_Primary_Location,,,,
